classification,authority_item,implementation_or_evidence,v16_1_status
RETAINED,P_IT_REF/G_REF/W_F,Frozen RC-MQT April validation output,UNCHANGED
RETAINED,Dataset312 kappa,dayahead/aidc_power_response.py,UNCHANGED
RETAINED,ML/Traffic/MESS/IEEE123/CL-MC-BD,Existing frozen implementations,UNCHANGED
RETAINED,GPU planning capacity,deliverable_active_gpu_capacity,ACTIVE_LOGICAL_POOL_CONSTRAINT
RETAINED,Virtual spatial mapping ratios,Normalized legacy power ratios,SPATIALIZATION_ONLY
SUPERSEDED,V16 Rack-level whole-power residual,AIDC_REFERENCE_DELTA_V1,INACTIVE_V16_1
SUPERSEDED,Legacy Rack total-kW hard cap,rack_power_cap_kw,ACTIVE_CONSTRAINT_CALL_COUNT_0
SUPERSEDED,REFERENCE_COMPUTE_SCHEDULE_V2 production reference,Historical V2 artifacts,PRESERVED_INACTIVE
NEW,ESIF/Kestrel power-boundary separation,dayahead/aidc_boundary_v16_1.py,ACTIVE_V16_1
NEW,AIDC-level whole-facility residual spatialization,audit_boundary_separation,ACTIVE_V16_1
NEW,REFERENCE_COMPUTE_SCHEDULE_V3,build_reference_schedule_v3,ACTIVE_V16_1
