paper_model,year,url,ordered_path_representation,signature_kernel,Bayesian_factor_forecast,requested_mass_factorization,flexible_share_factor,runtime_realization_factor,historical_analog_retrieval,reliability_aware_distribution_mixing,mass_first_forecast,time_tier_latency_shape_transfer,exact_mass_coherence,GPU_data_center_application,near_duplicate,overlap,distinct
GP with Signature Covariances,2020,https://proceedings.mlr.press/v119/toth20a.html,True,True,False,False,False,False,False,False,False,False,False,False,False,Signature covariance GP for sequential data.,"No workload factorization, analog gate, or GPU mass/shape contract."
Recurrent Sparse Spectrum Signature GP,2025,https://proceedings.mlr.press/v258/toth25a.html,True,True,False,False,False,False,False,False,False,False,False,False,False,Bayesian signature-based time-series forecasting.,"No factor product, historical future retrieval, or physical bridge."
Retrieval Augmented Time Series Forecasting (RAFT),2025,https://openreview.net/forum?id=GUDnecJdJU,True,False,False,False,False,False,True,False,False,False,False,False,False,Retrieves similar historical inputs and their futures.,"No signature GP, physical factor identity, or constrained reliability gate."
Retrieval Augmented Forecasting (RAF),2024,https://arxiv.org/abs/2411.08249,True,False,False,False,False,False,True,False,False,False,False,False,False,Retrieval augmentation for time-series foundation models.,No small-sample GP factorization or GPU workload semantics.
Analog Ensemble,2013,https://doi.org/10.1175/MWR-D-12-00281.1,False,False,False,False,False,False,True,False,False,False,False,False,False,Probabilistic distribution from outcomes following similar historical states.,Meteorological post-processing; no signature GP or factor product.
Dirichlet Proportions Model,2023,https://proceedings.mlr.press/v216/das23b.html,False,False,False,False,True,False,False,False,True,True,True,False,False,Probabilistic top-down root mass and coherent proportions.,"No requested/flexible/runtime identity, signature path, or analog mixture."
TweedieGP,2025,https://arxiv.org/abs/2502.19086,False,False,True,False,False,False,False,False,True,False,False,False,False,GP probabilistic intermittent-demand mass forecast.,"No path signature, factor product, analog gate, or GPU semantics."
Chronos,2024,https://arxiv.org/abs/2403.07815,True,False,False,False,False,False,False,False,True,False,False,False,False,Pretrained probabilistic time-series distribution forecast.,"Foundation model, not event-path factorized retrieval GP."
Deep Renewal Processes,2019,https://arxiv.org/abs/1911.10416,True,False,False,True,False,False,False,False,False,False,False,False,False,Inter-arrival and mark decomposition for intermittent demand.,"No signature GP, analog retrieval, or GPU mass identity."
HPC Runtime Prediction Methodology,2023,https://www.nrel.gov/docs/fy23osti/86526.pdf,False,False,False,False,False,True,False,False,False,False,False,True,False,Predicts realized runtime from requested walltime and job history.,"Per-job runtime task, not next-day flexible aggregate distribution."
