classification,authority_item,implementation_or_evidence,v16_2_status,sha256_or_value
RETAINED,Official April AEMO source vintage,dayahead/artifacts/v16_1/AEMO_DA_VINTAGE_CONTRACT_V16_1.json,UNCHANGED,b11cd2548afc24cb123dd995e5d4ae0cdf3ca8a39d9ad9eadc8da4e93c6fb3c9
RETAINED,Frozen full IEEE123 topology and phase authority,dayahead/full_ieee123_g11_v16_1.py,UNCHANGED,NATIVE_IEEE123
RETAINED,Generated ThreePhase PCC v3,C:/Users/kjw39/OneDrive/문서/ChatGPT/Mobile ESS 2/tmp/c12_exact_sources_repo_cleanup/c12_exact_sources/v2038_parent/Conversation3_Exact_AC_Remediation_Sweep_From_Conversation1_V2038/reference/opendss_assets/Generated_ThreePhase_PCC_v3.dss,IMMUTABLE_SOURCE,3c3e27020e266dc8f1c4e28e90d49f298d6ca741ef6b54599e44265882cd747c
RETAINED,Mobile ESS PCC transformer ratings,dayahead/artifacts/v16_2/Generated_ThreePhase_PCC_v4.dss,24_AT_750_KVA_UNCHANGED,750_KVA
RETAINED,PCC topology phase impedance and control fields,tests/dayahead/test_pcc_transformer_v16_2.py,BYTE_SEMANTIC_IDENTITY_EXCEPT_AIDC_KVA,PASS
NEW,V16.2 prospective AIDC PCC transformer re-freeze,dayahead/artifacts/v16_2/V16_2_AIDC_PCC_TRANSFORMER_REFREEZE_AUTHORITY.json,ACTIVE_AUTHORITY,53392a53ac73930fa1336cfd8daf97497fcb455f0569162bf3608c0459759a2d
NEW,Generated ThreePhase PCC v4,dayahead/artifacts/v16_2/Generated_ThreePhase_PCC_v4.dss,12_AIDC_AT_1500_KVA,ba13e3081df606c18d61f1e02300b23f7be00dc2d22bc4c8064d04f40beec719
NEW,AIDC PCC transformer contract V2,dayahead/artifacts/v16_2/AIDC_PCC_TRANSFORMER_CONTRACT_V2.json,ACTIVE_V16_2,4da7937328e8d76eed63cc7630144784796a6a5537d99fbd8b626c1fd8b546c9
NEW,V16.2 PCC authority loader,dayahead/pcc_transformer_v16_2.py,FAIL_CLOSED,PASS
NEW,V16.2 April input manifest,dayahead/artifacts/v16_2/DAYAHEAD_INPUT_MANIFEST_V16_2_APRIL.json,FROZEN_INPUT_BINDING,2f52b6f1e4748ceeeae3a26b930d46f948886540212110426d077afe2aa7d250
NEW,C7 full IEEE123 AEMO-rebind report,dayahead/artifacts/v16_2/C7_FULL_IEEE123_REPORT_V16_2_AEMO_REBIND.json,PASS_FULL_IEEE123_V16_2,020511cd96d28092ca71e3646398d4ee979f5c3a0d376f5c7383d79d8417213d
NEW,G10 V16.2 AEMO-rebind report,dayahead/artifacts/v16_2/G10_V16_2_AEMO_REBIND_REPORT.json,PASS,83782f1faebb386162d5ddb6fd542e78555bb1a3cd79685fbbb254dd373109df
NEW,G11 V16.2 full IEEE123 report,dayahead/artifacts/v16_2/G11_V16_2_FULL_IEEE123_AEMO_REBIND_REPORT.json,FAIL_FULL_IEEE123_BASELINE_INFEASIBLE,ad62c20846243510c7175fd2db721d9a74f1e6e8e59dee65f12af828527ba29f
BLOCKER,G11 upstream feeder hard infeasibility,dayahead/artifacts/v16_2/G11_V16_2_FULL_IEEE123_AEMO_REBIND_REPORT.json,FULL_IEEE123_UPSTREAM_TRANSFORMER_LINE_AND_VOLTAGE_HARD_INFEASIBILITY,transformer.reg1a
FIREWALL,G12 G13 G14 C12 execution,dayahead/run_aemo_rebind_g11_v16_2.py,NOT_RUN,0_CALLS
FIREWALL,May loader access,dayahead/run_aemo_rebind_g11_v16_2.py,LOCKED,0
FIREWALL,June loader access,dayahead/run_aemo_rebind_g11_v16_2.py,LOCKED,0
