field,origin,available_at,policy_use,numeric_future_value_use,reason
id,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
job_id,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
partition,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
submit_time,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
nodes_req,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
processors_req,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
memory_req,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
wallclock_req,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
qos,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
gpus_requested,Kestrel submission record,submit_time,PERMITTED,False,Scheduler-visible request field.
start_time,Kestrel event history,event occurrence,BOOLEAN_CUTOFF_STATE_ONLY,False,Immediately collapsed to event-at-or-before-cutoff; future numeric value is not passed.
end_time,Kestrel event history,event occurrence,BOOLEAN_CUTOFF_STATE_ONLY,False,Immediately collapsed to event-at-or-before-cutoff; future numeric value is not passed.
future_actual_start_time,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
future_actual_end_time,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
realized_runtime,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
queue_wait,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
nodelist,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
gpu_nodes_occupied,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
shared_job_count,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
nodes_shared,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
jobs_shared,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
future_completion_state,ex-post or unavailable,after issue or unavailable,FORBIDDEN,False,Causal field firewall.
