feature_name,source,value_time,available_at,forecast_origin,eligibility,classification,authority_evidence
PAST.submission_count,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,SUBMIT events inside closed historical interval
PAST.mature_GPUh,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
PAST.mature_flag,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
PAST.maturity_age_hours,NLR sacct event prefix,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Bin closed and every raw submission END observed <=t0
PAST.hour_sin,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
PAST.hour_cos,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
PAST.weekday_sin,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
PAST.weekday_cos,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
FUTURE_CONTEXT.slot_fraction,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
FUTURE_CONTEXT.lead_days,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
FUTURE_CONTEXT.hour_sin,Fixed AEST calendar,Observed closed interval or deterministic computation at t0,Observed closure time <=t0; masked placeholders and calendar computed at t0,D-1 18:00 fixed AEST,True,CAUSAL_AVAILABLE,Calendar/index computed at t0
