dataset_id,dataset_name,local_path,official_source_name,official_source_url,role,classification,final_V41R4_used,used_for,direct_or_indirect,preprocessing_output,consuming_code,consuming_artifact,SHA/source authority,first relevant version,final relevant version,paper_citation_required,paper_section,notes,evidence_level,source_kind,citation_group
DC10,Eagle full-node power annual archives,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Eagle 전체 node 전력 | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Eagle 장기 노드 전력 데이터,NLR HPC Eagle Node Power Data,https://data.nlr.gov/submissions/288,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,Distinct from the six-node telemetry actually inspected in V17. Annual 2019–2024 iLO archives occur in inventories/preservation manifests only.,INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
DC11,Alibaba GPU Cluster Trace v2026 job execution summary,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Alibaba GPU Cluster Trace v2026 Job execution summary,Alibaba Cluster Trace GPU v2026 (ASI): job execution summary,https://github.com/alibaba/clusterdata/tree/master/cluster-trace-gpu-v2026,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,"Archive exists. PFR1 optional source contract alone is not usage; older authority says NOT_FOUND_IN_BOUNDED_SEARCH, and no later final binding was found. Alibaba literature admissibility screening is distinct from reading this archive. Three local fact-table folders belong to the same published trace family; official repo and Windows download HostUrl corroborate the identity.",INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
DC12,Alibaba Server Hourly,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Alibaba Server Hourly,Alibaba Cluster Trace GPU v2026 (ASI): server hourly,https://github.com/alibaba/clusterdata/tree/master/cluster-trace-gpu-v2026,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,"No final source reader, receipt or authority binding found. Three local fact-table folders belong to the same published trace family; official repo and Windows download HostUrl corroborate the identity.",INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
DC13,Alibaba Network Hourly,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Alibaba Network Hourly,Alibaba Cluster Trace GPU v2026 (ASI): network hourly,https://github.com/alibaba/clusterdata/tree/master/cluster-trace-gpu-v2026,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,No final WAN capacity/traffic binding; not a substitute for SNDlib. Three local fact-table folders belong to the same published trace family; official repo and Windows download HostUrl corroborate the identity.,INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
DC14,BurstGPT v2.0,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\BurstGPT v2.0 장기 LLM 추론 요청 데이터,BurstGPT v2.0,https://github.com/HPMLL/BurstGPT/releases/tag/v2.0,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,CSV data exists; matching records are inventory/preservation/search records.,INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
DC15,Microsoft Azure LLM Inference Dataset 2024,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Microsoft Azure LLM Inference Dataset 2024,AzurePublicDataset: Azure LLM Inference Dataset 2024,https://github.com/Azure/AzurePublicDataset/blob/master/AzureLLMInferenceDataset2024.md,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,CSV exists; no final request trace or background-load binding found.,INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
DC18,NLR FastSim,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\03_FastSim,Public Slurm scheduling simulator FastSim,,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,Downloaded software reference; no final numerical or simulator invocation binding found.,INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
PW08,AEMO Generation Information spreadsheets,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO Generation Information,AEMO NEM Generation Information,https://www.aemo.com.au/energy-systems/electricity/national-electricity-market-nem/nem-forecasting-and-planning/forecasting-and-planning-data/generation-information,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,Four spreadsheets discovered in power_v61 metadata; no numeric use bound to final feeder/PV model. Final system is IEEE123 with declared rooftop PV capacity.,INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
PW09,AEMO 2026 demand/PV/dispatch extra downloads,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\전력 데이터 AEMO Victoria | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO rooftop PV 자료,AEMO January 2026 archive/daily products,,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,Only files whose names contain 202601 / daily 2026 products in these mixed folders. Excluded from PW01–PW05 used subsets.,INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
WX03,ERA5-Land Melbourne shortcut,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Melbourne 장기 외기 데이터,Copernicus ERA5-Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,DOWNLOADED_CANDIDATE,DOWNLOADED_ONLY_UNUSED,NO,No numeric or model consumption found in audited final dependency closure,NONE_FINAL,,,D:\ChatGPT\Mobile ESS 2\v41r4_dataset_provenance_audit_20260909_145531\STATIC_SOURCE_SEARCH.csv,Inventory plus STATIC_SEARCH_SCOPE.json; not a universal proof about all historical workspaces,NOT_ESTABLISHED_IN_AUDITED_HISTORY,NOT_ESTABLISHED,NO,Exclude from final data-source claims,"Only a .url shortcut is present, not an actual downloaded reanalysis payload. Excluded from numerical inputs.",INVENTORY_ONLY_AND_NO_FINAL_BINDING,EXTERNAL_RAW_DATA,
