paper_model,year,url,irregular_event_history,recurring_event_memory,recurring_innovation_decomposition,count_model,payload_size_model,extreme_tail_model,queue_consistency,power_mapping,hard_coherent_mass_relation,grid_objective_used,exact_overlap,difference
Deep Renewal Processes,2019,https://arxiv.org/abs/1911.10416,True,False,False,True,True,False,False,False,False,False,False,"Intermittent arrival/size renewal model; no identity motif memory, queue layer, or workload-to-power bridge."
DualTPP,2021,https://arxiv.org/abs/2101.02815,True,False,False,True,False,False,True,False,True,False,False,"Long-horizon event/count consensus, but not recurring-vs-innovation compound GPU-h payload forecasting."
EventFlow,2024,https://arxiv.org/abs/2410.07430,True,False,False,True,False,False,False,False,False,False,False,"Flow-matched joint event-time forecasts; no motif memory, payload tail, EDF queue, or power semantics."
ADD-THIN,2023,https://openreview.net/forum?id=tn9Dldam9L,True,False,False,True,False,False,False,False,False,False,False,Diffusion over whole point patterns; does not implement RACQ's workload semantics or queue/power layers.
RMTPP,2016,https://doi.org/10.1145/2939672.2939875,True,False,False,False,False,False,False,False,False,False,False,Next marked-event intensity model rather than coherent day-ahead GPU-h cohort distribution.
SAHP,2020,https://proceedings.mlr.press/v119/zhang20q.html,True,False,False,False,False,False,False,False,False,False,False,Self-attentive event intensity; no account motif recurrence split or physical queue/power outputs.
Transformer Hawkes Process,2020,https://proceedings.mlr.press/v119/zuo20a.html,True,False,False,False,False,False,False,False,False,False,False,Transformer event intensity with long dependencies; no compound mass/tail/cohort/queue contract.
Dirichlet Proportions Model,2023,https://proceedings.mlr.press/v216/das23b.html,False,False,False,False,True,False,False,False,True,False,False,Top-down coherent proportions overlap with cohort allocation only; not a job-event/queue/power model.
Prediction-Assisted GPU Scheduling (A-SRPT),2025,https://arxiv.org/abs/2501.05563,True,True,False,False,True,False,True,False,False,False,False,"Uses recurring DDL jobs to predict iterations for scheduling, not probabilistic future-arrival GPU-h mass and tail forecasts."
Characterization and Prediction of DL Workloads,2021,https://arxiv.org/abs/2109.01313,True,True,False,False,True,False,True,False,False,False,False,Per-job workload characterization/prediction for services; not a coherent probabilistic day-ahead workload-to-power forecaster.
