"aidc_id","model_bus","model_map_coordinate","model_locality","representative_real_facility","operator","real_address","latitude","longitude","distance_from_model_anchor_km","geographic_match_confidence","April_2025_existence_operation_status","alternative_nearby_facilities","source_url_address","source_access_date"
"AIDC01","149",,"Derrimut area","Equinix ME4","Equinix","2 Davis Court, Derrimut VIC 3026","-37.7884866","144.785835",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","AirTrunk MEL1 (Derrimut); exact model coordinate not recoverable","https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me4","2026-08-31"
"AIDC02","300_open",,"Kilsyth South area","Micron21 Melbourne Data Centre","Micron21","7 Eastspur Court, Kilsyth South VIC 3137","-37.8215488","145.3146071",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","No closer public operational data-centre candidate identified","https://www.micron21.com/book-a-tour","2026-08-31"
"AIDC03","35",,"Noble Park area","Fujitsu Noble Park Data Centre","Fujitsu","3-5 Summit Road, Noble Park North VIC 3174","-37.9476988","145.1857646",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","No closer public operational equivalent identified","https://www.fujitsu.com/au/Images/Fujitsu-Data-Centre-Noble-Park-Fact-Sheet.pdf","2026-08-31"
"AIDC04","50",,"Richmond area","AAPT/TPG Richmond Data Centre","TPG Telecom / AAPT","180 Burnley Street, Richmond VIC 3121","-37.820133","145.007631",,"MEDIUM","VERIFIED_OR_HISTORICALLY_SUPPORTED","Other inner-Melbourne carrier facilities; representative identity remains provisional","https://gowith.vocus.com.au/rs/587-CSJ-470/images/vic-data-centres.html","2026-08-31"
"AIDC05","61s",,"Tullamarine","NEXTDC M2","NEXTDC","75 Sharps Road, Tullamarine VIC 3043","-37.7088652","144.8754522",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","Equinix ME1/ME2 and Vocus Airport West are farther locality alternatives","https://www.nextdc.com/hubfs/Melbourne_FacilityOverview.pdf","2026-08-31"
"AIDC06","48",,"West Footscray","NEXTDC M3","NEXTDC","25 Indwe Street, West Footscray VIC 3012","-37.8035123","144.8654833",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","CDC Brooklyn and Digital Realty Deer Park are nearby industrial-area alternatives","https://www.nextdc.com/hubfs/Melbourne_FacilityOverview.pdf","2026-08-31"
"AIDC07","250",,"Mitcham","Vocus Mitcham","Vocus","28 Thornton Crescent, Mitcham VIC 3132","-37.8214322","145.1877346",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","No closer public operational equivalent identified","https://gowith.vocus.com.au/rs/587-CSJ-470/images/vic-data-centres.html","2026-08-31"
"AIDC08","21",,"Port Melbourne","NEXTDC M1","NEXTDC","826-846 Lorimer Street, Port Melbourne VIC 3207","-37.8226649","144.9322619",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","Equinix ME1/ME2 are inner-west alternatives","https://www.nextdc.com/hubfs/Melbourne_FacilityOverview.pdf","2026-08-31"
"AIDC09","152",,"West Melbourne","Equinix ME5","Equinix","22-36 Walsh Street, West Melbourne VIC 3003","-37.8079907","144.9533624",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","NEXTDC M1 and inner-city carrier facilities","https://www.equinix.com/data-centers/asia-pacific-colocation/australia-colocation/melbourne-data-centers/me5","2026-08-31"
"AIDC10","81",,"Brooklyn industrial area","CDC Brooklyn BK1","CDC Data Centres","594 Geelong Road, Brooklyn VIC 3012 (directory/geocode anchor)","-37.8164095","144.8499089",,"MEDIUM","VERIFIED_OR_HISTORICALLY_SUPPORTED","Digital Realty MEL11 Deer Park; NEXTDC M3 West Footscray","https://cdc.com/locations/melbourne/","2026-08-31"
"AIDC11","79",,"Cheltenham area","IBM MEL01 Cheltenham","IBM","1279 Nepean Highway, Cheltenham VIC 3192","-37.9636678","145.0568722",,"MEDIUM","UNRESOLVED","Operator/site status is less certain than address identity; no closer equivalent selected","https://www.ibm.com/support/pages/sites/default/files/inline-files/anz_27k_ver2.pdf","2026-08-31"
"AIDC12","108",,"Truganina area","STACK MEL01A","STACK Infrastructure","399 Palmers Road, Truganina VIC 3029","-37.8199329","144.7476422",,"HIGH","VERIFIED_OR_HISTORICALLY_SUPPORTED","AirTrunk MEL2 and other Truganina campus projects","https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-delivers-first-data-center-in-australia-launching-a-robust-apac-portfolio/","2026-08-31"
