model,year,source_url,base_forecast_preserved,base_hazard_offset,multi_threshold_hazard,causal_event_pressure,occurrence_severity_separated,hazard_severity_consistency,continuous_splice,exact_baseline_recovery,GPU_workload,time_tier_latency,mass_coherence,near_duplicate,overlap,distinct_BEACON_element
PRESTO,2023,https://proceedings.mlr.press/v202/faletto23a.html,false,false,true,false,false,false,false,false,false,false,false,false,"ordinal rare-event thresholds and adjacent shrinkage","no baseline distribution offset, EVT severity, splice, or GPU workload"
EQRN,2024,https://doi.org/10.1214/24-AOAS1907,false,false,false,true,true,false,true,false,false,false,false,false,"covariate-dependent intermediate quantile plus GPD tail","no anchored hazard ladder or exact baseline recovery"
DEMMA,2023,https://arxiv.org/abs/2310.07435,false,false,false,true,true,false,true,false,false,false,false,false,"hurdle extreme occurrence and GPD severity","no preserved operational base or ordered hazard ladder"
Spliced_Gamma_GPD_Wind,2018,https://arxiv.org/abs/1810.04099,false,false,false,true,true,true,true,false,false,false,false,false,"continuous bulk-tail probabilistic forecasting","no residual base hazard correction or GPU event pressure"
Tail_Calibration,2024,https://arxiv.org/abs/2407.03167,true,false,false,false,false,false,false,false,false,false,false,false,"formal forecast-tail calibration diagnostics","evaluation theory rather than BEACON architecture"
EVEREST,2026,https://openreview.net/pdf/e644d1d30a38acd168d6df9cb2b50a43920bc1e5.pdf,false,false,false,true,true,false,false,false,false,false,false,false,"tail-aware rare-event neural forecasting and EVT penalty","single event head; no coherent base CDF splice/recovery"
Switch_Hurdle,2026,https://arxiv.org/abs/2602.22685,false,false,false,true,true,true,false,false,false,false,false,false,"occurrence-magnitude separation with neural encoder","intermittent zero demand rather than ordered exceedance tail overlay"
PRISM_GPU,2026,https://arxiv.org/abs/2603.25378,false,false,false,true,false,false,false,false,true,false,false,false,"GPU workload forecasting with burst-phase improvement","point/compositional forecast; no calibrated tail distribution"
FASER_Flex_V24M,2026,LOCAL_V24M_AUTHORITY,false,false,false,true,true,true,false,false,true,true,true,false,"causal paths, retrieval, joint factors, exact mass shape","factor mixture rather than baseline-preserving exceedance overlay"
Bayesian_Distributional_Stacking,2018,https://doi.org/10.1214/17-BA1091,true,false,false,false,false,false,false,false,false,false,false,false,"combines already-fitted predictive distributions by proper scoring","no ordered hazard/severity physics or baseline recovery constraint"
