paper_model,year,venue,event_time_prediction,marked_events,long_horizon_all_at_once,continuous_service_mass,daily_aggregate_mass_head,hard_aggregate_event_reconciliation,gpu_resource_power_tier,electrical_power_mapping,d_minus_1_datacenter_scheduling,nearest_component,near_duplicate,url
DualTPP / Long Horizon Forecasting With Temporal Point Processes,2021,ACM WSDM,YES,YES,NO; binwise constrained sequential inference,NO,NO; aggregate count model,PARTIAL; count/timing constrained quadratic inference,NO,NO,NO,micro event model plus macro aggregate constraint,NO,https://doi.org/10.1145/3437963.3441740
DEF / Detecting the Future,2026,AAAI,YES,YES,YES,NO,NO,NO,NO,NO,NO,parallel query event detection plus horizon matching,NO,https://doi.org/10.1609/aaai.v40i27.39413
EventFlow,2026,AISTATS,YES,LIMITED/benchmark dependent,YES,NO,NO; event-count distribution,NO,NO,NO,NO,non-autoregressive joint future event-time generation,NO,https://openreview.net/forum?id=QXqKGOE2JW
Add and Thin,2023,NeurIPS,YES,YES,YES; diffusion conditional sampling,NO,NO,NO,NO,NO,NO,whole-window point-process generation,NO,https://proceedings.neurips.cc/paper_files/paper/2023/file/b1d9c7e7bd265d81aae8d74a7a6bd7f1-Paper-Conference.pdf
S2P2 / Deep Continuous-Time State-Space Models,2025,NeurIPS/medical open manuscript record,YES,YES,NO,NO,NO,NO,NO,NO,NO,continuous-time state-space event encoder,NO,https://openreview.net/forum?id=91cd21773ccd043766294dd5cebc557ae7de3dce
RMTPP,2016,ACM KDD,YES,YES,NO,NO,NO,NO,NO,NO,NO,recurrent marked continuous-time history encoder,NO,https://doi.org/10.1145/2939672.2939875
SAHP,2020,ICML/PMLR,YES,YES,NO,NO,NO,NO,NO,NO,NO,self-attentive history representation,NO,https://proceedings.mlr.press/v119/zhang20q.html
Transformer Hawkes Process,2020,ICML,YES,YES,NO,NO,NO,NO,NO,NO,NO,Transformer TPP baseline,NO,https://arxiv.org/abs/2002.09291
Deep Renewal Processes,2019,NeurIPS TPP workshop / PLOS ONE extension,YES,demand size,NO,YES; intermittent demand size,NO,NO,NO,NO,NO,intermittent occurrence and continuous size forecasting,NO,https://arxiv.org/abs/1911.10416
MC-LSTM,2021,ICML/PMLR,NO,NO,NO,YES,NO,YES; recurrent physical mass flow,NO,NO,NO,hard architectural mass conservation,NO,https://proceedings.mlr.press/v139/hoedt21a.html
Characterization and Prediction of DL Workloads in Large-Scale GPU Datacenters,2021,SC21,NO,job/resource workload records,NO,resource/runtime characterization,NO,NO,GPU resource but not V19 tiers,"energy-saving application, not tier bridge","scheduling case studies, not this forecast contract",GPU datacenter workload prediction domain,NO,https://www.sc21.supercomputing.org/proceedings/tech_paper/tech_paper_pages/pap594.html
