dataset_id,dataset_name,local_path,official_source_name,official_source_url,role,classification,final_V41R4_used,used_for,direct_or_indirect,preprocessing_output,consuming_code,consuming_artifact,SHA/source authority,first relevant version,final relevant version,paper_citation_required,paper_section,notes,evidence_level,source_kind,citation_group
DC01,NLR Kestrel Jobs — consumed job history and May cohort,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Kestrel Jobs Data\esif.hpc.kestrel.job-anon.zip | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR Kestrel Jobs | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\01_Kestrel_job_trace | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\NLR_Kestrel_Jobs,NLR HPC Kestrel Jobs Data,https://data.nlr.gov/submissions/302,OBSERVED_SCHEDULER_RECORDS,DIRECT_PRODUCTION_INPUT,YES,Historical runtime labels; causal request-state proxy; May pending/running workload and realized execution history,DIRECT_RAW_READ_BY_FINAL_INPUT_BUILDER,Frozen daily AIDC_INPUT; DAILY_DOMAIN_AUTHORITY; runtime authority,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v41\data.py | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v37\aidc_materializer.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,raw SHA256 3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f; current raw MATCH,V16; legacy Kestrel/F30 before V16,V41R4 May 2025,YES,"Methods / workload, runtime ML, causality",Use only fields and periods in final causal selectors. Full archive extends beyond May; those later jobs are not blanket-used. Final sacct rows are not authentic D-1 queue snapshots. Actual Melbourne job trace claim forbidden. Final capacity is synthetic 780 GPU slots.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
DC02,NLR Dataset 312 v2 — H100 measured GPU power,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\dataset.zip | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\NLR_Dataset_312_GenAI_Power\dataset.zip | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\08_NLR_Kestrel_H100_GenAI_Power_Dataset312,Dataset of Generative AI Workload Power Profiles,https://data.nlr.gov/submissions/312,MEASURED_DEVICE_POWER_PARAMETER,MODEL_PARAMETER_OR_VALIDATION,YES,"Final GPU-slot active-power magnitude, 620.2239090195797 W/GPU CENTER; final swing 547.7239090195797 W/GPU after idle subtraction",INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,V35R3F_RAW_PROFILE_STATISTICS.parquet; V35R3I authority; V35R3J M2 freeze,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v39a\power.py,C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3f_dataset312_h100_power_authority\V35R3F_SOURCE_AUTHORITY.json | C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3i_semiempirical_h100_gpu_slot_power_bridge\V35R3I_H100_ACTIVE_GPU_POWER_AUTHORITY.json | C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3j_aidc_it_scale_consistency_freeze\V35R3J_SCALE_METHOD_DECISION.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,archive dcad6de800fb565d850b163902e2eddae48aabd1ed1c7336f9a1cdaf3012f137 MATCH; run statistics 3d157de55bd4be5b237874f9dcfe232b920ff13655dd496d88db2858d589321f,V16; final magnitude V35R3F–J,V41R4 May 2025,YES,Methods / AIDC power model,2431 H100 runs; use measured NVML GPU-only components. Simulated whole-facility records in same archive are not the primary measured parameter source. All duplicate archive paths denote one dataset.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PARAMETER_VALIDATION
DC03,Dataset 312 associated paper — dedicated H100 idle test,C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3i_semiempirical_h100_gpu_slot_power_bridge\V35R3I_H100_IDLE_GPU_POWER_AUTHORITY.json,"De la Rosa et al., Measurement of Generative AI Workload Power Profiles for Whole-Facility Data Center Infrastructure Planning",https://arxiv.org/abs/2604.07345,LITERATURE_MEASURED_ENGINEERING_PARAMETER,MODEL_PARAMETER_OR_VALIDATION,YES,72.5 W/GPU idle component in final active-minus-idle GPU swing,INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,V35R3I_H100_IDLE_GPU_POWER_AUTHORITY.json,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v39a\power.py,C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3i_semiempirical_h100_gpu_slot_power_bridge\V35R3I_H100_IDLE_GPU_POWER_AUTHORITY.json | C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3j_aidc_it_scale_consistency_freeze\V35R3J_SCALE_METHOD_DECISION.json,Appendix A.4; arXiv:2604.07345; authority file SHA in EVIDENCE_FILES.csv,V35R3I,V41R4 May 2025,YES,Methods / AIDC power model,Literature measurement parameter; not a second local raw job dataset.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_LITERATURE_PARAMETER,PARAMETER_VALIDATION
DC04,NLR ESIF PUE / IT power / outside-weather series,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR ESIF PUE  IT Power | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Facility PUE 및 외기 데이터 | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR HPC Facility PUE | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR 데이터센터 PUE·외기 데이터 | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\NLR_ESIF_PUE_IT_POWER,NLR HPC Facility Power Usage Effectiveness (PUE) Data,https://data.nlr.gov/submissions/300,MEASURED_FACILITY_POWER_AND_WEATHER,MODEL_PARAMETER_OR_VALIDATION,YES,C1 quasi-static cooling/PCC model parameter fit and NLR IT-power shape authority,INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,V24T_NLR_ALIGNED_THERMAL_DATASET.parquet; V24T_C1_QUASISTATIC_MODEL.json,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v28r2\c1_affine.py | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v39a\power.py,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v24t_thermal_aware_aidc\V24T_NLR_FILE_DISCOVERY.json | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v24t_thermal_aware_aidc\V24T_C1_QUASISTATIC_MODEL.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,PUE 19cd12405dde9144b1a360e8c8418666c399a3d0d15a7f846880d71ab22f9dd4; outside 97b424993fa77a15117fb2c4659a2c327fc83280f943fab47d9036260289a6a0; MATCH; production C1 02a19e6c2d8cb44ec6b90ff1a4c98f21d5e848cda2dc34f2aaf2f959f9e6579e,V16; C1 V24T,V41R4 May 2025,YES,"Methods / cooling, facility power and scale","NLR measured cooling response transferred to scenario sites; not measured Melbourne PUE or individual-site IT demand. CSV ZIP and Parquet copies are alternative representations, not independent datasets.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PARAMETER_VALIDATION
DC05,Scientific Data / Figshare H100 training workloads — H100 subset,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\Scientific Data 2026 — H100B200 high-resolution workload dataset\31654879.zip | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\H100B200 AI Training Power Dataset\High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare.zip | C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\09_ScientificData2026_H100_B200_Workloads_Figshare31654879,Characterization of high-resolution AI data center training workloads on single and multiple GPU nodes; Figshare 31654879,https://doi.org/10.6084/m9.figshare.31654879.v1,MEASURED_DEVICE_POWER_VALIDATION,MODEL_PARAMETER_OR_VALIDATION,YES,Secondary H100 power-bound cross-check of Dataset312 authority,VALIDATION_ONLY_NO_NUMERIC_PARAMETER_CHANGE,V35R3H component audit; V35R3I active power authority,V35R3H audit implementation (static historical artifact); D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v39a\power.py,C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3i_semiempirical_h100_gpu_slot_power_bridge\V35R3I_H100_ACTIVE_GPU_POWER_AUTHORITY.json,outer 66c6e69823cba078ada7be852b293d5d1ead7526a95645f033df674031bbc71a; inner c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3; both MATCH,V17 screening; V35R3H–I final bound,V41R4 May 2025,YES,Methods / independent power parameter validation,SECONDARY_BOUND_ONLY; no primary magnitude fit and no whole-node/CPU measurement claim. The two named raw folders are the same publication/dataset family.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PARAMETER_VALIDATION
DC07,University of Córdoba data-center P/Q,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\University_Cordoba_DataCenter_PQ,University of Córdoba Data Center Power Quality Dataset,https://github.com/joaquinjgz/Dataset_university_data_center,MEASURED_PQ_VALIDATION_ONLY,MODEL_PARAMETER_OR_VALIDATION,YES,Independent aggregate PF=0.95 plausibility screen,VALIDATION_ONLY_NO_NUMERIC_PARAMETER_CHANGE,V40J_EXTERNAL_DATACENTER_PQ_AUDIT.json,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v40j\external_pq.py,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v40j_runtime_redesign\V40J_EXTERNAL_DATACENTER_PQ_AUDIT.json | D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v40j_runtime_redesign\V40J_EXTERNAL_DATACENTER_PQ_AUDIT.md,b3c94fe028abff98734c38a828d2227e403c83922a42670672e693a8fecc4591 MATCH,V40J,V41R4 May 2025,YES,Methods / fixed power factor validation,"11088 samples; supports aggregate approximation only, no site-specific/time-varying PF authority and no AIDC controllable Q.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PARAMETER_VALIDATION
DC19,HPC-ODA Commons — preserved input normalization,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\데이터 센터\NLR_scheduler_authority\07_hpc-oda-commons,NLR HPC-ODA Commons,https://github.com/NatLabRockies/hpc-oda-commons,SOFTWARE_PREPROCESSING_AUTHORITY,MODEL_PARAMETER_OR_VALIDATION,YES,Pinned Slurm memory normalization reproduced in final input builder,INDIRECT_SOFTWARE_OR_ENGINEERING_PARAMETER,Normalized request-resource features,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v41\data.py,C:\codex_mobileess_workspace\MobileESS_v35r3j_aidc_scale_freeze\dayahead\artifacts\v35r3c_raddit_hpcoda_authority_recovery\V35R3C_HPCODA_RUNTIME_SOURCE_AUDIT.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,Pinned upstream commit 218d75f56b783ebfd698100f9406cfb46fa04c01,V35R3C–D,V41R4 May 2025,YES,Methods / runtime feature preprocessing,"Only preprocessing semantics retained. Final production runtime is ROLLING_Q90_TRACK_P_L2; old MoE-XGBoost runtime is not final model authority. This is software attribution, not another raw trace.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_SOFTWARE,PARAMETER_VALIDATION
PW01,AEMO VIC1 demand forecast — selected April/May vintages,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\Day-Ahead demand forecast,AEMO MMSDM PREDISPATCHREGIONSUM ALL,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2025/,ISSUED_FORECAST,DIRECT_PRODUCTION_INPUT,YES,D-1 18:00 fixed-AEST demand input for final May Planning,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,cache/v28r2_campaign_sources/may_2025/days/*/aemo_forecast.json,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\final_science_inputs_v16_3.py,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16_1\AEMO_2025_APR_MAY_JUN_SOURCE_ACQUISITION_V16_1.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,April raw cd5ded8e7492683149a877d2f29d3a2fc3cc92892890c26f44b7dc53cfbb980f; May raw 699f0befb7f1b834165d7c179348f6daf9b8c1eb85fae3b82bcfa5c6a552d2ab; per-day source SHA and vintage identity,V16.1–3,V41R4 May 2025,YES,Methods / exogenous Planning inputs,"May 1 reads the April archive because issue time is April 30. Folder also holds non-May material, which is not blanket-used.",CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
PW02,AEMO rooftop PV forecast — selected April/May vintages,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\AEMO Rooftop PV — forecast + actual\Forecast,AEMO MMSDM ROOFTOP_PV_FORECAST,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2025/,ISSUED_FORECAST,DIRECT_PRODUCTION_INPUT,YES,D-1 18:00 fixed-AEST PV input,INDIRECT_VIA_FROZEN_PREPROCESSING_OR_ASSET,aemo_forecast.json / pv_source_sha256,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\final_science_inputs_v16_3.py,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\artifacts\v16_1\AEMO_2025_APR_MAY_JUN_SOURCE_ACQUISITION_V16_1.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,April c433ce35ba15e6f012d3b74cae5c83ed89eab5e5cb6312f34963099dae1c3a5f; May exact hash in per-day cache and acquisition inventory,V16.1–3,V41R4 May 2025,YES,Methods / exogenous Planning inputs,Forecast is distinct from realized PV. May 1 uses April vintage archive.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
PW03,AEMO VIC1 realized demand — May DISPATCHREGIONSUM,C:\Users\kjw39\OneDrive\Desktop\4-2\Mobile ESS\raw데이터\AEMO\Realized demand\PUBLIC_ARCHIVE#DISPATCHREGIONSUM#FILE01#202505010000.zip,AEMO MMSDM DISPATCHREGIONSUM TOTALDEMAND,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2025/,OBSERVED_OPERATIONAL_DEMAND,DIRECT_PRODUCTION_INPUT,YES,Final Actual replay demand,DIRECT_RAW_READ_BY_FINAL_INPUT_BUILDER,V40D_AEMO_COMPLETENESS.json; Actual exogenous arrays,D:\ChatGPT\Mobile ESS 2\v41r4_final_results_pr\dayahead\v40d_actual\exogenous.py,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40d_actual_realized_replay\V40D_AEMO_COMPLETENESS.json | C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\artifacts\v40h_production_integrity\CURRENT_TRANSITIVE_INPUT_INVENTORY.json,89a3d7b9d793d164adeeeef7c4234f3a6a512aa63236ff0d1a3193d3d5eb5186,V16 inputs; final Actual V40D,V41R4 May 2025,YES,Methods / realized replay,VIC1 5-minute records sampled at exact quarter-hour ends; not 15-minute mean. No forecast substitution.,CODE_AND_ARTIFACT_BINDING,EXTERNAL_RAW_DATA,PRODUCTION
